IP地址,端口,TLS,数据中心,国家,地区,城市,ASN,ORG,延迟(ms),速度(MB/s)
175.125.207.253,12121,TRUE,ICN,KR,Asia Pacific,Seoul,9318,SK Broadband Co Ltd,204,8.02
220.81.132.214,29798,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,813,7.31
38.47.121.241,31981,TRUE,NRT,JP,Asia Pacific,Tokyo,49901,Kuiper Network Ltd,377,6.88
211.75.243.91,16764,TRUE,NRT,JP,Asia Pacific,Tokyo,3462,Data Communication Business Group,475,5.70
175.121.84.216,21242,TRUE,NRT,JP,Asia Pacific,Tokyo,9318,SK Broadband Co Ltd,488,5.31
59.23.21.147,30012,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,330,4.98
14.50.174.164,12458,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,171,4.59
211.195.68.80,12290,TRUE,KIX,JP,Asia Pacific,Osaka,4766,Korea Telecom,616,4.49
59.22.136.160,10042,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,225,3.92
211.192.158.219,10122,TRUE,KIX,JP,Asia Pacific,Osaka,4766,Korea Telecom,558,3.63
61.77.9.219,12503,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,298,3.13
220.86.191.246,12391,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,311,2.21
220.81.178.30,12306,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,305,1.90
58.145.73.59,12322,TRUE,KIX,JP,Asia Pacific,Osaka,9689,SK Broadband Co Ltd,423,1.69
121.162.197.175,10103,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,329,1.59
221.145.90.29,10000,TRUE,LAX,US,North America,Los Angeles,4766,Korea Telecom,618,1.49
121.168.235.70,33338,TRUE,HKG,HK,Asia Pacific,Hong Kong,4766,Korea Telecom,366,1.41
103.170.233.160,4308,TRUE,NRT,JP,Asia Pacific,Tokyo,142616,"Misaka Network, Inc.",176,1.06
211.51.185.137,21083,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,311,0.88
158.180.68.56,443,TRUE,HKG,HK,Asia Pacific,Hong Kong,31898,ORACLE-BMC-31898,607,0.35
66.42.34.203,443,TRUE,NRT,JP,Asia Pacific,Tokyo,20473,AS-CHOOPA,591,0.21
146.56.99.22,20443,TRUE,NRT,JP,Asia Pacific,Tokyo,31898,ORACLE-BMC-31898,959,0.17
146.56.99.255,56789,TRUE,NRT,JP,Asia Pacific,Tokyo,31898,ORACLE-BMC-31898,566,0.13
193.122.101.68,2083,TRUE,NRT,JP,Asia Pacific,Tokyo,31898,ORACLE-BMC-31898,919,0.13
140.238.8.194,15800,TRUE,NRT,JP,Asia Pacific,Tokyo,31898,ORACLE-BMC-31898,321,0.12
144.24.80.56,443,TRUE,HKG,HK,Asia Pacific,Hong Kong,31898,ORACLE-BMC-31898,980,0.08
64.176.46.50,443,TRUE,NRT,JP,Asia Pacific,Tokyo,20473,AS-CHOOPA,902,0.07
172.84.92.152,58723,TRUE,NRT,JP,Asia Pacific,Tokyo,11161,DIGITALVIRT,234,0.05
107.191.60.177,8443,TRUE,NRT,JP,Asia Pacific,Tokyo,20473,AS-CHOOPA,479,0.04
172.84.92.108,42304,TRUE,NRT,JP,Asia Pacific,Tokyo,11161,DIGITALVIRT,241,0.03
149.28.22.198,8443,TRUE,NRT,JP,Asia Pacific,Tokyo,20473,AS-CHOOPA,643,0.03
152.70.234.188,443,TRUE,NRT,JP,Asia Pacific,Tokyo,31898,ORACLE-BMC-31898,462,0.02
202.182.115.102,443,TRUE,NRT,JP,Asia Pacific,Tokyo,20473,AS-CHOOPA,499,0.02
52.193.4.149,443,TRUE,NRT,JP,Asia Pacific,Tokyo,16509,AMAZON-02,412,0.02
172.84.92.174,8526,TRUE,NRT,JP,Asia Pacific,Tokyo,11161,DIGITALVIRT,619,0.02
141.147.186.227,443,TRUE,NRT,JP,Asia Pacific,Tokyo,31898,ORACLE-BMC-31898,478,0.02
132.226.10.65,443,TRUE,KIX,JP,Asia Pacific,Osaka,31898,ORACLE-BMC-31898,695,0.01
141.11.139.80,18666,TRUE,NRT,JP,Asia Pacific,Tokyo,51847,Nearoute Limited,528,0.01
